strain,delta_t12,delta_t32
wildtype,-21.67224080267559,10.969899665551836
wildtype,-51.10367892976589,34.515050167224075
wildtype,25.953177257525084,-3.4782608695652186
wildtype,-12.575250836120404,7.759197324414714
wildtype,14.715719063545151,14.715719063545151
wildtype,7.22408026755852,20.06688963210702
wildtype,10.434782608695642,21.137123745819395
wildtype,-5.0836120401337865,4.0133779264213985
wildtype,6.153846153846146,16.8561872909699
wildtype,-25.418060200668897,-2.4080267558528448
wildtype,-2.943143812709039,-2.4080267558528448
wildtype,31.304347826086953,16.8561872909699
wildtype,-6.68896321070234,-13.110367892976598
wildtype,-12.040133779264224,13.645484949832777
wildtype,-13.110367892976598,-1.872909698996665
wildtype,-5.618729096989966,4.0133779264213985
wildtype,-20.066889632107028,16.321070234113705
wildtype,2.4080267558528448,29.163879598662206
wildtype,-9.364548494983282,28.093645484949832
wildtype,-22.742474916387962,12.04013377926421
wildtype,-7.759197324414714,18.461538461538453
wildtype,-15.785953177257525,21.672240802675574
wildtype,-13.645484949832777,13.110367892976583
wildtype,-6.68896321070234,-4.5484949832775925
wildtype,-1.337792642140471,6.68896321070234
wildtype,-15.250836120401345,36.12040133779264
wildtype,-2.943143812709039,25.953177257525084
wildtype,-21.67224080267559,-5.0836120401337865
wildtype,-10.969899665551836,10.434782608695642
wildtype,11.50501672240803,-20.066889632107028
wildtype,6.153846153846146,7.22408026755852
wildtype,-3.4782608695652186,2.9431438127090246
wildtype,-34.51505016722408,10.434782608695642
wildtype,-5.618729096989966,2.9431438127090246
wildtype,9.899665551839462,12.575250836120404
wildtype,6.153846153846146,31.839464882943133
wildtype,-5.618729096989966,-16.321070234113712
wildtype,-6.68896321070234,7.759197324414714
wildtype,-4.013377926421413,28.093645484949832
wildtype,-2.4080267558528448,18.996655518394647
wildtype,14.180602006688957,11.50501672240803
wildtype,-1.337792642140471,5.618729096989966
wildtype,28.093645484949832,21.137123745819395
wildtype,-5.618729096989966,14.180602006688957
wildtype,16.8561872909699,2.4080267558528448
wildtype,-20.066889632107028,23.812709030100336
wildtype,0.267558528428097,41.47157190635451
wildtype,-20.602006688963215,17.39130434782608
wildtype,-21.67224080267559,8.829431438127088
wildtype,-22.742474916387962,16.8561872909699
wildtype,-37.725752508361204,23.277591973244142
wildtype,-14.180602006688972,-19.53177257525084
wildtype,-14.180602006688972,-10.434782608695656
wildtype,-4.013377926421413,6.153846153846146
wildtype,0.8026755852842768,40.93645484949832
wildtype,-19.53177257525084,13.110367892976583
wildtype,6.68896321070234,-6.15384615384616
wildtype,-0.267558528428097,40.93645484949832
wildtype,-16.321070234113712,-2.943143812709039
wildtype,-42.54180602006689,17.39130434782608
wildtype,21.672240802675574,23.277591973244142
wildtype,6.153846153846146,10.969899665551836
wildtype,13.110367892976583,29.698996655518386
wildtype,14.715719063545151,21.672240802675574
wildtype,19.531772575250827,-0.267558528428097
wildtype,14.180602006688957,-14.180602006688972
wildtype,7.759197324414714,6.68896321070234
wildtype,12.04013377926421,21.672240802675574
wildtype,-0.267558528428097,-7.759197324414714
wildtype,-7.759197324414714,-0.267558528428097
wildtype,-11.50501672240803,-0.267558528428097
wildtype,-37.725752508361204,-21.67224080267559
wildtype,12.04013377926421,5.618729096989966
wildtype,-7.759197324414714,1.337792642140471
wildtype,12.04013377926421,22.20735785953177
wildtype,24.88294314381271,18.461538461538453
wildtype,15.250836120401331,5.618729096989966
wildtype,0.267558528428097,-14.715719063545151
wildtype,-17.391304347826093,18.461538461538453
wildtype,-13.110367892976598,4.5484949832775925
wildtype,24.88294314381271,-8.829431438127088
wildtype,9.899665551839462,1.337792642140471
wildtype,7.22408026755852,6.153846153846146
wildtype,-29.6989966555184,1.8729096989966507
wildtype,18.461538461538453,23.812709030100336
wildtype,8.294314381270894,35.58528428093645
wildtype,-3.4782608695652186,22.20735785953177
wildtype,4.0133779264213985,-6.68896321070234
wildtype,37.7257525083612,-8.294314381270908
wildtype,-15.250836120401345,29.163879598662206
wildtype,-3.4782608695652186,17.926421404682273
wildtype,10.969899665551836,1.8729096989966507
wildtype,-1.872909698996665,6.153846153846146
wildtype,-48.42809364548495,7.22408026755852
wildtype,22.74247491638795,6.153846153846146
wildtype,9.899665551839462,8.294314381270894
wildtype,29.698996655518386,-1.872909698996665
wildtype,10.969899665551836,17.39130434782608
wildtype,-46.82274247491639,16.321070234113705
wildtype,-2.943143812709039,16.8561872909699
wildtype,-11.50501672240803,32.37458193979933
wildtype,12.575250836120404,15.785953177257525
wildtype,31.839464882943133,15.250836120401331
wildtype,-29.163879598662213,22.20735785953177
wildtype,-12.575250836120404,40.40133779264214
wildtype,-8.294314381270908,17.39130434782608
wildtype,-51.10367892976589,-2.943143812709039
wildtype,-6.15384615384616,7.759197324414714
wildtype,-28.093645484949832,19.531772575250827
wildtype,-15.785953177257525,0.8026755852842768
wildtype,24.347826086956516,-10.434782608695656
wildtype,12.04013377926421,-11.50501672240803
wildtype,-16.8561872909699,29.698996655518386
wildtype,-39.86622073578595,25.953177257525084
wildtype,-16.8561872909699,6.68896321070234
wildtype,-39.86622073578595,15.785953177257525
wildtype,16.8561872909699,-48.963210702341144
wildtype,14.180602006688957,36.12040133779264
wildtype,-9.899665551839462,20.06688963210702
wildtype,-22.742474916387962,-5.618729096989966
wildtype,-25.418060200668897,6.153846153846146
wildtype,17.926421404682273,-0.8026755852842911
wildtype,20.06688963210702,25.953177257525084
wildtype,-0.267558528428097,-0.8026755852842911
wildtype,10.434782608695642,39.866220735785944
wildtype,5.083612040133772,8.294314381270894
wildtype,1.337792642140471,12.04013377926421
wildtype,-7.224080267558534,16.8561872909699
wildtype,-22.742474916387962,20.06688963210702
wildtype,13.645484949832777,15.250836120401331
wildtype,23.277591973244142,0.267558528428097
wildtype,14.180602006688957,-6.15384615384616
wildtype,14.715719063545151,5.083612040133772
wildtype,-20.602006688963215,6.153846153846146
wildtype,-13.110367892976598,9.364548494983268
wildtype,-2.4080267558528448,17.926421404682273
wildtype,1.8729096989966507,21.137123745819395
wildtype,-18.461538461538467,25.41806020066889
wildtype,14.180602006688957,-2.4080267558528448
wildtype,-10.969899665551836,25.41806020066889
wildtype,22.74247491638795,-8.294314381270908
wildtype,-12.575250836120404,-6.68896321070234
wildtype,-9.364548494983282,26.488294314381264
wildtype,-8.294314381270908,-4.5484949832775925
wildtype,32.90969899665551,-7.759197324414714
wildtype,-16.8561872909699,10.969899665551836
wildtype,-17.92642140468228,21.672240802675574
wildtype,-29.6989966555184,22.20735785953177
wildtype,-11.50501672240803,6.153846153846146
wildtype,20.06688963210702,42.00668896321069
wildtype,4.0133779264213985,40.93645484949832
wildtype,-30.234113712374587,4.5484949832775925
wildtype,1.337792642140471,-10.434782608695656
wildtype,2.4080267558528448,3.4782608695652186
wildtype,-2.4080267558528448,6.153846153846146
wildtype,-10.969899665551836,29.698996655518386
wildtype,-26.48829431438127,15.785953177257525
wildtype,-8.294314381270908,7.759197324414714
wildtype,-12.575250836120404,31.304347826086953
wildtype,-6.15384615384616,9.899665551839462
wildtype,-16.321070234113712,15.785953177257525
wildtype,38.79598662207357,-4.5484949832775925
wildtype,-8.294314381270908,13.110367892976583
wildtype,36.65551839464882,14.715719063545151
wildtype,18.996655518394647,9.364548494983268
wildtype,21.672240802675574,30.76923076923076
wildtype,-17.92642140468228,29.163879598662206
wildtype,9.364548494983268,21.137123745819395
wildtype,4.0133779264213985,4.5484949832775925
wildtype,22.20735785953177,13.645484949832777
wildtype,-36.65551839464883,1.8729096989966507
wildtype,-7.759197324414714,11.50501672240803
wildtype,21.672240802675574,-7.224080267558534
wildtype,-9.364548494983282,-10.434782608695656
wildtype,39.866220735785944,18.461538461538453
wildtype,-4.5484949832775925,0.267558528428097
wildtype,-4.013377926421413,21.137123745819395
wildtype,32.37458193979933,18.461538461538453
wildtype,18.996655518394647,12.04013377926421
wildtype,-31.839464882943147,2.9431438127090246
wildtype,-9.364548494983282,24.347826086956516
wildtype,-24.347826086956523,18.996655518394647
wildtype,-5.618729096989966,16.321070234113705
wildtype,-23.27759197324415,6.153846153846146
wildtype,15.785953177257525,17.926421404682273
wildtype,-10.434782608695656,19.531772575250827
wildtype,10.969899665551836,9.899665551839462
wildtype,2.9431438127090246,10.969899665551836
wildtype,0.267558528428097,-15.785953177257525
wildtype,-5.0836120401337865,10.969899665551836
wildtype,23.812709030100336,1.8729096989966507
wildtype,32.37458193979933,10.434782608695642
wildtype,11.50501672240803,14.715719063545151
wildtype,5.618729096989966,8.294314381270894
wildtype,0.8026755852842768,7.22408026755852
wildtype,-15.250836120401345,4.0133779264213985
wildtype,12.575250836120404,20.6020066889632
wildtype,-36.65551839464883,10.969899665551836
wildtype,-2.4080267558528448,17.39130434782608
wildtype,4.0133779264213985,17.926421404682273
wildtype,-9.364548494983282,-12.040133779264224
wildtype,-12.040133779264224,25.41806020066889
wildtype,-0.267558528428097,9.364548494983268
wildtype,5.618729096989966,-5.0836120401337865
wildtype,-27.023411371237458,30.23411371237458
wildtype,-17.92642140468228,24.88294314381271
wildtype,-13.645484949832777,0.8026755852842768
wildtype,-2.943143812709039,2.4080267558528448
wildtype,-5.618729096989966,-0.267558528428097
wildtype,-3.4782608695652186,-6.68896321070234
wildtype,-10.969899665551836,39.866220735785944
wildtype,-9.364548494983282,7.759197324414714
wildtype,-17.92642140468228,31.304347826086953
wildtype,-30.234113712374587,32.90969899665551
wildtype,3.4782608695652186,22.74247491638795
wildtype,-20.066889632107028,11.50501672240803
wildtype,-4.013377926421413,-13.645484949832777
wildtype,-23.812709030100336,7.22408026755852
wildtype,-6.68896321070234,37.7257525083612
wildtype,32.90969899665551,14.715719063545151
wildtype,-7.759197324414714,1.8729096989966507
wildtype,6.68896321070234,-5.0836120401337865
wildtype,21.137123745819395,-7.224080267558534
wildtype,-5.0836120401337865,15.785953177257525
wildtype,9.899665551839462,6.68896321070234
wildtype,-5.0836120401337865,2.4080267558528448
wildtype,14.180602006688957,28.093645484949832
wildtype,10.969899665551836,-27.558528428093645
wildtype,-1.337792642140471,-12.040133779264224
wildtype,-8.294314381270908,22.20735785953177
wildtype,-16.321070234113712,16.321070234113705
wildtype,-7.224080267558534,17.926421404682273
wildtype,-15.785953177257525,35.58528428093645
wildtype,13.110367892976583,27.023411371237458
wildtype,-0.267558528428097,6.68896321070234
wildtype,2.4080267558528448,8.294314381270894
wildtype,31.304347826086953,-2.4080267558528448
wildtype,-13.110367892976598,16.8561872909699
wildtype,16.321070234113705,18.461538461538453
wildtype,-3.4782608695652186,-4.5484949832775925
wildtype,22.20735785953177,-6.15384615384616
wildtype,25.41806020066889,32.90969899665551
wildtype,12.575250836120404,-8.294314381270908
wildtype,-16.8561872909699,11.50501672240803
wildtype,-35.585284280936456,37.19063545150502
wildtype,-3.4782608695652186,33.97993311036788
wildtype,13.110367892976583,20.06688963210702
wildtype,17.39130434782608,10.434782608695642
wildtype,10.434782608695642,-10.969899665551836
wildtype,-0.8026755852842911,10.434782608695642
wildtype,12.04013377926421,33.97993311036788
wildtype,6.68896321070234,-0.267558528428097
wildtype,18.996655518394647,28.093645484949832
wildtype,12.04013377926421,-1.337792642140471
wildtype,-8.294314381270908,21.137123745819395
wildtype,2.4080267558528448,5.083612040133772
wildtype,-21.1371237458194,14.180602006688957
wildtype,11.50501672240803,-10.434782608695656
wildtype,-13.645484949832777,8.294314381270894
wildtype,-4.013377926421413,18.461538461538453
wildtype,-3.4782608695652186,16.321070234113705
wildtype,8.829431438127088,6.153846153846146
wildtype,13.110367892976583,8.829431438127088
wildtype,-17.391304347826093,26.488294314381264
wildtype,-20.602006688963215,17.926421404682273
wildtype,12.575250836120404,40.40133779264214
wildtype,-45.21739130434783,4.0133779264213985
wildtype,15.250836120401331,14.715719063545151
wildtype,-13.110367892976598,-23.812709030100336
wildtype,-9.364548494983282,-8.829431438127088
wildtype,-4.013377926421413,17.39130434782608
wildtype,20.6020066889632,16.321070234113705
wildtype,15.785953177257525,13.110367892976583
wildtype,2.4080267558528448,38.26086956521739
wildtype,-14.715719063545151,18.461538461538453
wildtype,-17.92642140468228,20.06688963210702
wildtype,7.22408026755852,16.321070234113705
wildtype,-5.618729096989966,13.110367892976583
wildtype,8.829431438127088,5.083612040133772
wildtype,-5.618729096989966,-2.943143812709039
wildtype,-38.79598662207358,17.39130434782608
wildtype,20.6020066889632,-6.68896321070234
wildtype,-1.337792642140471,6.153846153846146
wildtype,15.250836120401331,5.618729096989966
wildtype,-1.872909698996665,28.62876254180601
wildtype,-9.899665551839462,0.267558528428097
wildtype,-11.50501672240803,25.41806020066889
wildtype,10.969899665551836,-8.294314381270908
wildtype,8.829431438127088,2.4080267558528448
wildtype,30.76923076923076,10.969899665551836
wildtype,-0.8026755852842911,7.22408026755852
wildtype,10.434782608695642,25.41806020066889
wildtype,10.969899665551836,7.22408026755852
wildtype,2.9431438127090246,-15.785953177257525
wildtype,-30.234113712374587,21.672240802675574
wildtype,5.083612040133772,20.06688963210702
wildtype,20.6020066889632,31.839464882943133
wildtype,-13.645484949832777,20.6020066889632
wildtype,4.5484949832775925,9.364548494983268
wildtype,22.20735785953177,4.5484949832775925
threshold,34.515050167224075,-24.88294314381271
threshold,-67.6923076923077,-6.15384615384616
threshold,-29.6989966555184,12.04013377926421
threshold,4.5484949832775925,-13.645484949832777
threshold,-43.61204013377927,3.4782608695652186
threshold,6.153846153846146,20.06688963210702
threshold,-6.68896321070234,-0.267558528428097
threshold,-13.645484949832777,3.4782608695652186
threshold,42.00668896321069,1.8729096989966507
threshold,15.785953177257525,32.37458193979933
threshold,-21.67224080267559,14.715719063545151
threshold,22.74247491638795,12.04013377926421
threshold,15.785953177257525,47.357859531772576
threshold,-24.347826086956523,-9.899665551839462
threshold,4.0133779264213985,39.866220735785944
threshold,-27.023411371237458,14.715719063545151
threshold,-16.321070234113712,21.672240802675574
threshold,22.20735785953177,-0.267558528428097
threshold,6.153846153846146,3.4782608695652186
threshold,-2.4080267558528448,11.50501672240803
threshold,-19.53177257525084,22.74247491638795
threshold,27.558528428093638,39.866220735785944
threshold,-25.418060200668897,-16.321070234113712
threshold,-8.829431438127088,-13.110367892976598
threshold,-30.234113712374587,13.110367892976583
threshold,-32.90969899665552,75.7190635451505
threshold,-23.27759197324415,8.829431438127088
threshold,-46.82274247491639,-10.969899665551836
threshold,-29.163879598662213,17.926421404682273
threshold,11.50501672240803,-8.829431438127088
threshold,-40.93645484949833,-7.759197324414714
threshold,4.0133779264213985,1.8729096989966507
threshold,-22.742474916387962,-13.645484949832777
threshold,-24.347826086956523,-2.4080267558528448
threshold,-36.12040133779264,11.50501672240803
threshold,9.364548494983268,10.969899665551836
threshold,-33.979933110367895,5.083612040133772
threshold,-65.55183946488295,25.41806020066889
threshold,3.4782608695652186,39.866220735785944
threshold,48.963210702341144,23.277591973244142
threshold,-12.575250836120404,1.337792642140471
threshold,-2.943143812709039,-7.224080267558534
threshold,-15.250836120401345,23.277591973244142
threshold,2.4080267558528448,-4.5484949832775925
threshold,-29.163879598662213,8.294314381270894
threshold,-0.8026755852842911,21.137123745819395
threshold,-29.163879598662213,1.8729096989966507
threshold,-7.759197324414714,28.093645484949832
threshold,-14.715719063545151,20.06688963210702
threshold,-46.2876254180602,27.558528428093638
threshold,-40.93645484949833,-15.785953177257525
threshold,-26.48829431438127,37.7257525083612
threshold,-8.294314381270908,-6.15384615384616
threshold,14.715719063545151,12.04013377926421
threshold,-27.023411371237458,10.434782608695642
threshold,-22.207357859531776,-10.969899665551836
threshold,7.22408026755852,-3.4782608695652186
threshold,-36.65551839464883,0.8026755852842768
threshold,-37.725752508361204,-2.943143812709039
threshold,-30.769230769230774,-1.337792642140471
threshold,-73.57859531772576,-0.8026755852842911
threshold,-2.943143812709039,3.4782608695652186
threshold,-22.207357859531776,-25.418060200668897
threshold,39.331103678929765,19.531772575250827
